"g","g^2","g^4","g^43","g^86","g^172"
"0","0","0","0","0","0"
"1","1","1","1","1","1"
"2","4","16","80","172","1"
"3","9","81","93","172","1"
"4","16","83","172","1","1"
"5","25","106","93","172","1"
"6","36","85","1","1","1"
"7","49","152","93","172","1"
"8","64","117","93","172","1"
"9","81","160","172","1","1"
"10","100","139","1","1","1"
"11","121","109","93","172","1"
"12","144","149","80","172","1"
"13","169","16","172","1","1"
"14","23","10","1","1","1"
"15","52","109","172","1","1"
"16","83","142","1","1","1"
"17","116","135","80","172","1"
"18","151","138","93","172","1"
"19","15","52","80","172","1"
"20","54","148","80","172","1"
"21","95","29","172","1","1"
"22","138","14","1","1","1"
"23","10","100","1","1","1"
"24","57","135","172","1","1"
"25","106","164","172","1","1"
"26","157","83","93","172","1"
"27","37","158","80","172","1"
"28","92","160","80","172","1"
"29","149","57","1","1","1"
"30","35","14","93","172","1"
"31","96","47","172","1","1"
"32","159","23","80","172","1"
"33","51","6","172","1","1"
"34","118","84","172","1","1"
"35","14","23","172","1","1"
"36","85","132","1","1","1"
"37","158","52","172","1","1"
"38","60","140","172","1","1"
"39","137","85","80","172","1"
"40","43","119","172","1","1"
"41","124","152","172","1","1"
"42","34","118","93","172","1"
"43","119","148","1","1","1"
"44","33","51","80","172","1"
"45","122","6","80","172","1"
"46","40","43","80","172","1"
"47","133","43","1","1","1"
"48","55","84","93","172","1"
"49","152","95","172","1","1"
"50","78","29","93","172","1"
"51","6","36","1","1","1"
"52","109","117","1","1","1"
"53","41","124","93","172","1"
"54","148","106","172","1","1"
"55","84","136","172","1","1"
"56","22","138","172","1","1"
"57","135","60","1","1","1"
"58","77","47","80","172","1"
"59","21","95","93","172","1"
"60","140","51","1","1","1"
"61","88","132","80","172","1"
"62","38","60","93","172","1"
"63","163","100","80","172","1"
"64","117","22","172","1","1"
"65","73","139","80","172","1"
"66","31","96","93","172","1"
"67","164","81","172","1","1"
"68","126","133","93","172","1"
"69","90","142","93","172","1"
"70","56","22","93","172","1"
"71","24","57","93","172","1"
"72","167","36","80","172","1"
"73","139","118","172","1","1"
"74","113","140","93","172","1"
"75","89","136","80","172","1"
"76","67","164","93","172","1"
"77","47","133","172","1","1"
"78","29","149","172","1","1"
"79","13","169","93","172","1"
"80","172","1","93","172","1"
"81","160","169","1","1","1"
"82","150","10","93","172","1"
"83","142","96","1","1","1"
"84","136","158","1","1","1"
"85","132","124","1","1","1"
"86","130","119","80","172","1"
"87","130","119","93","172","1"
"88","132","124","172","1","1"
"89","136","158","172","1","1"
"90","142","96","172","1","1"
"91","150","10","80","172","1"
"92","160","169","172","1","1"
"93","172","1","80","172","1"
"94","13","169","80","172","1"
"95","29","149","1","1","1"
"96","47","133","1","1","1"
"97","67","164","80","172","1"
"98","89","136","93","172","1"
"99","113","140","80","172","1"
"100","139","118","1","1","1"
"101","167","36","93","172","1"
"102","24","57","80","172","1"
"103","56","22","80","172","1"
"104","90","142","80","172","1"
"105","126","133","80","172","1"
"106","164","81","1","1","1"
"107","31","96","80","172","1"
"108","73","139","93","172","1"
"109","117","22","1","1","1"
"110","163","100","93","172","1"
"111","38","60","80","172","1"
"112","88","132","93","172","1"
"113","140","51","172","1","1"
"114","21","95","80","172","1"
"115","77","47","93","172","1"
"116","135","60","172","1","1"
"117","22","138","1","1","1"
"118","84","136","1","1","1"
"119","148","106","1","1","1"
"120","41","124","80","172","1"
"121","109","117","172","1","1"
"122","6","36","172","1","1"
"123","78","29","80","172","1"
"124","152","95","1","1","1"
"125","55","84","80","172","1"
"126","133","43","172","1","1"
"127","40","43","93","172","1"
"128","122","6","93","172","1"
"129","33","51","93","172","1"
"130","119","148","172","1","1"
"131","34","118","80","172","1"
"132","124","152","1","1","1"
"133","43","119","1","1","1"
"134","137","85","93","172","1"
"135","60","140","1","1","1"
"136","158","52","1","1","1"
"137","85","132","172","1","1"
"138","14","23","1","1","1"
"139","118","84","1","1","1"
"140","51","6","1","1","1"
"141","159","23","93","172","1"
"142","96","47","1","1","1"
"143","35","14","80","172","1"
"144","149","57","172","1","1"
"145","92","160","93","172","1"
"146","37","158","93","172","1"
"147","157","83","80","172","1"
"148","106","164","1","1","1"
"149","57","135","1","1","1"
"150","10","100","172","1","1"
"151","138","14","172","1","1"
"152","95","29","1","1","1"
"153","54","148","93","172","1"
"154","15","52","93","172","1"
"155","151","138","80","172","1"
"156","116","135","93","172","1"
"157","83","142","172","1","1"
"158","52","109","1","1","1"
"159","23","10","172","1","1"
"160","169","16","1","1","1"
"161","144","149","93","172","1"
"162","121","109","80","172","1"
"163","100","139","172","1","1"
"164","81","160","1","1","1"
"165","64","117","80","172","1"
"166","49","152","80","172","1"
"167","36","85","172","1","1"
"168","25","106","80","172","1"
"169","16","83","1","1","1"
"170","9","81","80","172","1"
"171","4","16","93","172","1"
"172","1","1","172","1","1"
